Indicator Name,Short definition,Long definition,Source,Topic/Theme,Periodicity,Base Period,Aggregation method,Conceptual implications and limitations,Notes from original source,
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),"Logistics professionals' perception of the efficiency of country's customs clearance processes (i.e. speed, simplicity and predictability of formalities), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.","Data are from Logistics Performance Index surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. 2009 round of surveys covered more than 5,000 country assessments by nearly 1,000 international freight forwarders. Respondents evaluate eight markets on six core dimensions on a scale from 1 (worst) to 5 (best). The markets are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. Details of the survey methodology are in Arvis and others' Connecting to Compete 2010: Trade Logistics in the Global Economy (2010). Respondents evaluated efficiency of customs clearance processes (i.e. speed, simplicity and predictability of formalities), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.","World Bank and Turku School of Economics, Logistic Performance Index Surveys. Data are available online at : http://www.worldbank.org/lpi. Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.",Private Sector & Trade: Trade facilitation,Annual,,Unweighted average,,,
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),"Logistics professionals' perception of how often the shipments to assessed country reach the consignee within the scheduled or expected delivery time, on a rating ranging from 1 (hardly ever) to 5 (nearly always). Scores are averaged across all respondents.","Data are from Logistics Performance Index surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. 2009 round of surveys covered more than 5,000 country assessments by nearly 1,000 international freight forwarders. Respondents evaluate eight markets on six core dimensions on a scale from 1 (worst) to 5 (best). The markets are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. Details of the survey methodology are in Arvis and others' Connecting to Compete 2010: Trade Logistics in the Global Economy (2010). Respondents assessed how often the shipments to assessed markets reach the consignee within the scheduled or expected delivery time, on a rating ranging from 1 (hardly ever) to 5 (nearly always). Scores are averaged across all respondents.","World Bank and Turku School of Economics, Logistic Performance Index Surveys. Data are available online at : http://www.worldbank.org/lpi. Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.",Private Sector & Trade: Trade facilitation,Annual,,Unweighted average,,,
Logistics performance index: Overall (1=low to 5=high),"Logistics Performance Index overall score reflects perceptions of a country's logistics based on efficiency of customs clearance process, quality of trade- and transport-related infrastructure, ease of arranging competitively priced shipments, quality of logistics services, ability to track and trace consignments, and frequency with which shipments reach the consignee within the scheduled time. The index ranges from 1 to 5, with a higher score representing better performance.","Logistics Performance Index overall score reflects perceptions of a country's logistics based on efficiency of customs clearance process, quality of trade- and transport-related infrastructure, ease of arranging competitively priced shipments, quality of logistics services, ability to track and trace consignments, and frequency with which shipments reach the consignee within the scheduled time. The index ranges from 1 to 5, with a higher score representing better performance. Data are from Logistics Performance Index surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. 2009 round of surveys covered more than 5,000 country assessments by nearly 1,000 international freight forwarders. Respondents evaluate eight markets on six core dimensions on a scale from 1 (worst) to 5 (best). The markets are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. Scores for the six areas are averaged across all respondents and aggregated to a single score using principal components analysis. Details of the survey methodology and index construction methodology are in Arvis and others' Connecting to Compete 2010: Trade Logistics in the Global Economy (2010).","World Bank and Turku School of Economics, Logistic Performance Index Surveys. Data are available online at : http://www.worldbank.org/lpi. Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.",Private Sector & Trade: Trade facilitation,Annual,,Unweighted average,,,
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),"Logistics professionals' perception of country's quality of trade and transport related infrastructure (e.g. ports, railroads, roads, information technology), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.","Data are from Logistics Performance Index surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. 2009 round of surveys covered more than 5,000 country assessments by nearly 1,000 international freight forwarders. Respondents evaluate eight markets on six core dimensions on a scale from 1 (worst) to 5 (best). The markets are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. Details of the survey methodology are in Arvis and others' Connecting to Compete 2010: Trade Logistics in the Global Economy (2010). Respondents evaluated the quality of trade and transport related infrastructure (e.g. ports, railroads, roads, information technology), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.","World Bank and Turku School of Economics, Logistic Performance Index Surveys. Data are available online at : http://www.worldbank.org/lpi. Summary results are published in Arvis and others' Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators report.",Private Sector & Trade: Trade facilitation,Annual,,Unweighted average,,,
Management time dealing with officials (% of management time),"Time dealing with officials is the percentage of management time in a given week spent on requirements imposed by government regulations (taxes, customs, labor regulations, licensing and registration).","Time dealing with officials is the percentage of management time in a given week spent on requirements imposed by government regulations (taxes, customs, labor regulations, licensing and registration).","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Private Sector & Trade: Business environment,Annual,,,,,
Manufactures exports (% of merchandise exports),"Manufactures comprise commodities in SITC sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (non-ferrous metals).","Manufactures comprise commodities in SITC sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (non-ferrous metals).",World Bank staff estimates from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Manufactures imports (% of merchandise imports),"Manufactures comprise the commodities in SITC sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (nonferrous metals).","Manufactures comprise the commodities in SITC sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (nonferrous metals).",World Bank staff estimates from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
"Manufacturing, value added (% of GDP)","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Note: For VAB countries, gross value added at factor cost is used as the denominator.","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Note: For VAB countries, gross value added at factor cost is used as the denominator.","World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: Shares of GDP & other,Annual,,Weighted average,,,
"Manufacturing, value added (annual % growth)","Annual growth rate for manufacturing value added based on constant local currency. Aggregates are based on constant 2000 U.S. dollars. Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3.","Annual growth rate for manufacturing value added based on constant local currency. Aggregates are based on constant 2000 U.S. dollars. Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3.","World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: Growth rates,Annual,,Weighted average,,,
"Manufacturing, value added (current US$)","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Data are in current U.S. dollars.","Manufacturing refers to industries belonging to ISIC divisions 15-37. Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs. It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Data are in current U.S. dollars.","World Bank national accounts data, and OECD National Accounts data files.",Economic Policy & Debt: National accounts: US$ at current prices: Value added,Annual,,Gap-filled total,,,
Market Access Overall Trade Restrictiveness Index,A measure of the  barriers the exports of a country faces from all of its trading partners,"The MAOTRI captures the trade policy distortions imposed by the trading partners of each country on its export bundle. It measures the uniform tariff equivalent of the partner country tariff and non-tariff barriers (NTB) that would generate the same level of export value for the country in a given year. Tariffs can be based on the MFN tariffs which applied to all trading partners, or the Applied tariffs, which takes into account the bilateral trade preferences. The measure used here is on Applied Tariffs",World Bank ,Trade Policy,,,,,,
Market Access Overall Trade Restrictiveness Index agriculture,A measure of the barriers the agriculturalexports of a country faces from all of its trading partners,"The MAOTRI captures the trade policy distortions imposed by the trading partners of each country on its export bundle. It measures the uniform tariff equivalent of the partner country tariff and non-tariff barriers (NTB) that would generate the same level of export value for the country in a given year. Tariffs can be based on the MFN tariffs which applied to all trading partners, or the Applied tariffs, which takes into account the bilateral trade preferences. The measure used here is on Applied Tariffs",World Bank ,Trade Policy,,,,,,
Market Access Overall Trade Restrictiveness Index manufacturing,A measure of the barriers the manufactured exports of a country faces from all of its trading partners,"The MAOTRI captures the trade policy distortions imposed by the trading partners of each country on its export bundle. It measures the uniform tariff equivalent of the partner country tariff and non-tariff barriers (NTB) that would generate the same level of export value for the country in a given year. Tariffs can be based on the MFN tariffs which applied to all trading partners, or the Applied tariffs, which takes into account the bilateral trade preferences. The measure used here is on Applied Tariffs",World Bank ,Trade Policy,,,,,,
Market Access Tariff Trade Restrictiveness Index,A measure of the barriers the manufactured exports of a country faces from all of its trading partners,MATTRI is the MAOTRI that only focuses on the tariffs of the trading partners of each country. No NTBs are considered in the calculation of MAOTRI_T.,World Bank ,Trade Policy,,,,,,
Market Access Overall Trade Restrictiveness Index agriculture,A measure of the barriers the manufactured exports of a country faces from all of its trading partners,MATTRI is the MAOTRI that only focuses on the tariffs of the trading partners of each country. No NTBs are considered in the calculation of MAOTRI_T.,World Bank ,Trade Policy,,,,,,
Market Access Overall Trade Restrictiveness Index manufacturing,A measure of the barriers the manufactured exports of a country faces from all of its trading partners,MATTRI is the MAOTRI that only focuses on the tariffs of the trading partners of each country. No NTBs are considered in the calculation of MAOTRI_T.,World Bank ,Trade Policy,,,,,,
Merchandise exports (current US$),Merchandise exports show the f.o.b. value of goods provided to the rest of the world valued in current U.S. dollars.,Merchandise exports show the f.o.b. value of goods provided to the rest of the world valued in current U.S. dollars.,World Trade Organization.,Private Sector & Trade: Exports,Annual,,Gap-filled total,,,
Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),Merchandise exports to developing economies in Latin America and the Caribbean are the sum of merchandise exports from the reporting economy to developing economies in the Latin America and the Caribbean region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to developing economies in Latin America and the Caribbean are the sum of merchandise exports from the reporting economy to developing economies in the Latin America and the Caribbean region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to developing economies in Middle East and North Africa are the sum of merchandise exports from the reporting economy to developing economies in the Middle East and North Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to developing economies in Middle East and North Africa are the sum of merchandise exports from the reporting economy to developing economies in the Middle East and North Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise exports to developing economies in South Asia (% of total merchandise exports),Merchandise exports to developing economies in South Asia are the sum of merchandise exports from the reporting economy to developing economies in the South Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to developing economies in South Asia are the sum of merchandise exports from the reporting economy to developing economies in the South Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports),Merchandise exports to developing economies in Sub-Saharan Africa are the sum of merchandise exports from the reporting economy to developing economies in the Sub-Saharan Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,Merchandise exports to developing economies in Sub-Saharan Africa are the sum of merchandise exports from the reporting economy to developing economies in the Sub-Saharan Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise exports to developing economies outside region (% of total merchandise exports),Merchandise exports to developing economies outside region are the sum of merchandise exports from the reporting economy to other developing economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy.,Merchandise exports to developing economies outside region are the sum of merchandise exports from the reporting economy to other developing economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise exports to developing economies within region (% of total merchandise exports),Merchandise exports to developing economies within region are the sum of merchandise exports from the reporting economy to other developing economies in the same World Bank region as a percentage of total merchandise exports by the economy.,"Merchandise exports to developing economies within region are the sum of merchandise exports from the reporting economy to other developing economies in the same World Bank region as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data. No figures are shown for high-income economies, because they are a separate category in the World Bank classification of economies.",World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise exports to economies in the Arab World (% of total merchandise exports),Merchandise exports to economies in the Arab World are the sum of merchandise exports by the reporting economy to economies in the Arab World. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Merchandise exports to economies in the Arab World are the sum of merchandise exports by the reporting economy to economies in the Arab World. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to high-income economies are the sum of merchandise exports from the reporting economy to high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy.,Merchandise exports to high-income economies are the sum of merchandise exports from the reporting economy to high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise imports (current US$),Merchandise imports show the c.i.f. value of goods received from the rest of the world valued in current U.S. dollars.,Merchandise imports show the c.i.f. value of goods received from the rest of the world valued in current U.S. dollars.,World Trade Organization.,Private Sector & Trade: Imports,Annual,,Gap-filled total,,,
Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports),Merchandise imports from developing economies in Latin America and the Caribbean are the sum of merchandise imports by the reporting economy from developing economies in the Latin America and the Caribbean region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from developing economies in Latin America and the Caribbean are the sum of merchandise imports by the reporting economy from developing economies in the Latin America and the Caribbean region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports),Merchandise imports from developing economies in Middle East and North Africa are the sum of merchandise imports by the reporting economy from developing economies in the Middle East and North Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from developing economies in Middle East and North Africa are the sum of merchandise imports by the reporting economy from developing economies in the Middle East and North Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
Merchandise imports from developing economies in South Asia (% of total merchandise imports),Merchandise imports from developing economies in South Asia are the sum of merchandise imports by the reporting economy from developing economies in the South Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from developing economies in South Asia are the sum of merchandise imports by the reporting economy from developing economies in the South Asia region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports),Merchandise imports from developing economies in Sub-Saharan Africa are the sum of merchandise imports by the reporting economy from developing economies in the Sub-Saharan Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from developing economies in Sub-Saharan Africa are the sum of merchandise imports by the reporting economy from developing economies in the Sub-Saharan Africa region according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
Merchandise imports from developing economies outside region (% of total merchandise imports),Merchandise imports from developing economies outside region are the sum of merchandise imports by the reporting economy from other developing economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from developing economies outside region are the sum of merchandise imports by the reporting economy from other developing economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
Merchandise imports from developing economies within region (% of total merchandise imports),Merchandise imports from developing economies within region are the sum of merchandise imports by the reporting economy from other developing economies in the same World Bank region according to the World Bank classification of economies. Data are as a percentage of total merchandise imports by the economy.,"Merchandise imports from developing economies within region are the sum of merchandise imports by the reporting economy from other developing economies in the same World Bank region according to the World Bank classification of economies. Data are as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data. No figures are shown for high-income economies, because they are a separate category in the World Bank classification of economies.",World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from economies in the Arab World are the sum of merchandise imports by the reporting economy from economies in the Arab World. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Merchandise imports from economies in the Arab World are the sum of merchandise imports by the reporting economy from economies in the Arab World. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,Annual,,Weighted average,,,
Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Annual,,Weighted average,,,
Merchandise trade (% of GDP),"Merchandise trade as a share of GDP is the sum of merchandise exports and imports divided by the value of GDP, all in current U.S. dollars.","Merchandise trade as a share of GDP is the sum of merchandise exports and imports divided by the value of GDP, all in current U.S. dollars.","World Trade Organization, and World Bank GDP estimates.",Private Sector & Trade: Total merchandise trade,Annual,,Weighted average,,,
Military expenditure (% of central government expenditure),"Military expenditures data from SIPRI are derived from the NATO definition, which includes all current and capital expenditures on the armed forces, including peacekeeping forces; defense ministries and other government agencies engaged in defense projects; paramilitary forces, if these are judged to be trained and equipped for military operations; and military space activities. Such expenditures include military and civil personnel, including retirement pensions of military personnel and social services for personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, conversion, and destruction of weapons. This definition cannot be applied for all countries, however, since that would require much more detailed information than is available about what is included in military budgets and off-budget military expenditure items. (For example, military budgets might or might not cover civil defense, reserves and auxiliary forces, police and paramilitary forces, dual-purpose forces such as military and civilian police, military grants in kind, pensions for military personnel, and social security contributions paid by one part of government to another.)","Military expenditures data from SIPRI are derived from the NATO definition, which includes all current and capital expenditures on the armed forces, including peacekeeping forces; defense ministries and other government agencies engaged in defense projects; paramilitary forces, if these are judged to be trained and equipped for military operations; and military space activities. Such expenditures include military and civil personnel, including retirement pensions of military personnel and social services for personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, conversion, and destruction of weapons. This definition cannot be applied for all countries, however, since that would require much more detailed information than is available about what is included in military budgets and off-budget military expenditure items. (For example, military budgets might or might not cover civil defense, reserves and auxiliary forces, police and paramilitary forces, dual-purpose forces such as military and civilian police, military grants in kind, pensions for military personnel, and social security contributions paid by one part of government to another.)","Stockholm International Peace Research Institute (SIPRI), Yearbook: Armaments, Disarmament and International Security.",Public Sector: Defense & arms trade,Annual,,Weighted average,,,
Military expenditure (% of GDP),"Military expenditures data from SIPRI are derived from the NATO definition, which includes all current and capital expenditures on the armed forces, including peacekeeping forces; defense ministries and other government agencies engaged in defense projects; paramilitary forces, if these are judged to be trained and equipped for military operations; and military space activities. Such expenditures include military and civil personnel, including retirement pensions of military personnel and social services for personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, conversion, and destruction of weapons. This definition cannot be applied for all countries, however, since that would require much more detailed information than is available about what is included in military budgets and off-budget military expenditure items. (For example, military budgets might or might not cover civil defense, reserves and auxiliary forces, police and paramilitary forces, dual-purpose forces such as military and civilian police, military grants in kind, pensions for military personnel, and social security contributions paid by one part of government to another.)","Military expenditures data from SIPRI are derived from the NATO definition, which includes all current and capital expenditures on the armed forces, including peacekeeping forces; defense ministries and other government agencies engaged in defense projects; paramilitary forces, if these are judged to be trained and equipped for military operations; and military space activities. Such expenditures include military and civil personnel, including retirement pensions of military personnel and social services for personnel; operation and maintenance; procurement; military research and development; and military aid (in the military expenditures of the donor country). Excluded are civil defense and current expenditures for previous military activities, such as for veterans' benefits, demobilization, conversion, and destruction of weapons. This definition cannot be applied for all countries, however, since that would require much more detailed information than is available about what is included in military budgets and off-budget military expenditure items. (For example, military budgets might or might not cover civil defense, reserves and auxiliary forces, police and paramilitary forces, dual-purpose forces such as military and civilian police, military grants in kind, pensions for military personnel, and social security contributions paid by one part of government to another.)","Stockholm International Peace Research Institute (SIPRI), Yearbook: Armaments, Disarmament and International Security.",Public Sector: Defense & arms trade,Annual,,Weighted average,,,
Mineral rents (% of GDP),"Mineral rents are the difference between the value of production for a stock of minerals at world prices and their total costs of production. Minerals included in the calculation are tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.","Mineral rents are the difference between the value of production for a stock of minerals at world prices and their total costs of production. Minerals included in the calculation are tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.","Estimates based on sources and methods described in ""The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium"" (World Bank, 2011).",Environment: Natural resources contribution to GDP,Annual,,Weighted average,,,
Mobile cellular subscriptions (per 100 people),"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",Infrastructure: Communications,Annual,,Weighted average,,,
"Motor vehicles (per 1,000 people)","Motor vehicles include cars, buses, and freight vehicles but do not include two-wheelers. Population refers to midyear population in the year for which data are available.","Motor vehicles include cars, buses, and freight vehicles but do not include two-wheelers. Population refers to midyear population in the year for which data are available.","International Road Federation, World Road Statistics and data files.",Infrastructure: Transportation,Annual,,Weighted average,,,
Net ODA received (% of central government expense),Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients.,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline. IMF central government expense estimates are used for the denominator.",Economic Policy & Debt: Official development assistance,Annual,,,,,
Net ODA received (% of GNI),Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients.,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline. World Bank GNI estimates are used for the denominator.",Economic Policy & Debt: Official development assistance,Annual,,Weighted average,,,
Net ODA received (% of imports of goods and services),Net official development assistance is disbursement flows (net of repayment of principal) that meet the DAC definition of ODA and are made to countries and territories on the DAC list of aid recipients.,"Net official development assistance (ODA) consists of disbursements of loans made on concessional terms (net of repayments of principal) and grants by official agencies of the members of the Development Assistance Committee (DAC), by multilateral institutions, and by non-DAC countries to promote economic development and welfare in countries and territories in the DAC list of ODA recipients. It includes loans with a grant element of at least 25 percent (calculated at a rate of discount of 10 percent).","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline. World Bank imports of good and services estimates are used for the denominator.",Economic Policy & Debt: Official development assistance,Annual,,Weighted average,,,
